id,Content,Context,Tags,Importance,timestamp
1,"TimeFlow Animation System Overview: TimeFlow is a professional Unity Asset Store package for timeline-based animation. It's OPEN SOURCE and installed as a package at 'Packages/com.axongenesis.timeflow/'. The system allows animating GameObject properties over time using a custom timeline editor. Core features: track-based timeline, keyframe animation, curve editing, Edit Mode workflow, supports multiple components simultaneously. Tim purchased this to use for Amazing Grace light show project instead of the custom timeline we built (keeping ours for memories). The package has organized structure: Core/Behaviors (component-specific animations), Core/Channels (timeline channels), Core/Properties (property handlers), Core/Editor (UI/editing tools), Samples~ (demo scenes).",timeflow_architecture,"timeflow, unity, animation_system, package_structure",10,2025-12-13 22:28:20
2,"TimeFlow Property Selection UI Workflow: Adding animation channels works through inspector UI: 1) Click 'Animate' button on GameObject's Transform inspector, 2) Select GameObject in Hierarchy, 3) In Inspector's 'Keyframer' section click 'Add Channel', 4) Dark red/brown box appears saying 'Please Select a Property', 5) Click it to open dropdown menu showing available properties organized by component (Transform, LineRenderer, etc). The menu generation happens in AxonGUI.Properties.cs PropertySelectMenu() method which calls Property.GetAvailablePropertyDataTypes() for each component. This uses reflection to discover properties, BUT also checks for custom PropertiesHandler classes for special cases. For LineRenderer currently shows 'numPositions' and 'positionCount' but NOT the individual position indices - that's what we need to add!",property_selection_ui,"timeflow, ui_workflow, property_selection, keyframer",10,2025-12-13 22:28:31
3,"TimeFlow PropertiesHandler System Architecture: TimeFlow uses custom property handlers for components that need special treatment beyond basic reflection. Base class is PropertiesHandler (in Core/Properties/PropertiesHandler.cs). Naming convention is CRITICAL: Must be named 'PropertiesOf[ComponentType]' in AxonGenesis namespace (e.g., PropertiesOfTransform, PropertiesOfMaterial). System auto-discovers handlers using reflection at runtime. Key handler responsibilities: 1) GetProperties() - returns SDictionary of available property names and types, 2) GetVector()/GetFloat()/GetBool()/etc - read current values, 3) SetVector(value, attribute)/SetFloat()/etc - write values with attribute parameter for X/Y/Z axis selection. Existing handlers: PropertiesOfTransform, PropertiesOfMaterial, PropertiesOfAnimator, PropertiesOfRigidbody, PropertiesOfVisualEffect, PropertiesOfSkinnedMeshRenderer, etc.",properties_handler_system,"timeflow, properties_handler, architecture, reflection",10,2025-12-13 22:28:42
4,"Creating Custom TimeFlow Property Handlers (Example: PropertiesOfTransform): Handler implementation pattern learned from PropertiesOfTransform.cs: 1) Inherit from PropertiesHandler, 2) Override GetProperties() to return custom property list (e.g., 'Local Position', 'Local Rotation', 'Local Scale'), 3) Override GetVector() to read values - extracts current value based on PropertyMode enum, 4) Override SetVector(Vector4 value, int attribute) - writes values with attribute handling: if attribute < 0 sets entire Vector3, if attribute 0/1/2 sets only X/Y/Z using value.x for single channel. CRITICAL: Single attribute assignments always use value.x channel - ensures same curve is used regardless of which axis user selects. Transform handler uses Rotator helper class for stable euler angle interpolation. Pattern allows custom property names (e.g., 'Local Position' instead of 'localPosition'), custom read/write logic, and proper multi-axis support.",custom_handler_creation,"timeflow, custom_handler, code_pattern, transform_example",10,2025-12-13 22:28:53
5,"LineRenderer Position Animation Solution: Tim wants to animate LineRenderer.SetPosition(index, Vector3) for individual position indices. Current TimeFlow only exposes 'numPositions' and 'positionCount' properties. SOLUTION: Create PropertiesOfLineRenderer handler that: 1) Dynamically generates properties based on lineRenderer.positionCount - creates 'Position [0]', 'Position [1]', 'Position [2]', etc., 2) Parses index from property name in GetVector()/SetVector(), 3) Implements GetVector() using lineRenderer.GetPosition(index), 4) Implements SetVector() using lineRenderer.SetPosition(index, value) with proper attribute handling for X/Y/Z axes. Key challenge: Property list must be DYNAMIC since positionCount can change. Override Refresh() to rebuild property list when positionCount changes. File location: Create new file Packages/com.axongenesis.timeflow/Core/Properties/PropertiesOfLineRenderer.cs following same pattern as other handlers.",linerenderer_solution,"timeflow, linerenderer, solution_design, position_animation",10,2025-12-13 22:29:04
6,"TimeFlow Key File Locations and Code References: Package root: 'Packages/com.axongenesis.timeflow/'. CRITICAL FILES: 1) PropertiesHandler.cs (Core/Properties/) - base class for all handlers, defines interface, 2) Property.Utils.cs (Core/Properties/) - contains GetAvailablePropertyDataTypes() method that discovers properties using reflection and handlers, 3) AxonGUI.Properties.cs (Core/Editor/Helpers/) - contains PropertySelectMenu() that builds the 'Please Select a Property' dropdown UI, 4) TimeflowBehavior.cs (Core/Behaviors/Base/) - base class for behaviors, has InterpolateVector3/Color/etc methods, 5) Keyframer.cs (Core/Behaviors/Animation/) - component that manages animation channels on GameObjects. ALL custom handlers MUST be in Core/Properties/ folder with naming pattern PropertiesOf[Type].cs and MUST be in AxonGenesis namespace or they won't be discovered by reflection system!",file_locations_reference,"timeflow, file_structure, code_reference, critical_files",10,2025-12-13 22:29:16
7,"TimeFlow Attribute System for Multi-Axis Properties: TimeFlow handles Vector2/Vector3/Vector4/Color/Rect properties with individual axis control via 'attribute' parameter. ATTRIBUTE VALUES: 0=X/R/Left, 1=Y/G/Right, 2=Z/B/Top, 3=W/A/Bottom, -1=Combined (all axes together), -2=Uniform (apply same value to all axes). In property selection UI, when user selects Vector3 property they get submenu: X/Y/Z/Combined/Uniform. Single axis animations (attribute 0-3) ALWAYS use value.x from the curve - this ensures same curve data regardless of which axis is selected. Combined animations (attribute -1) use value.x/y/z for respective axes. SetVector(Vector4 value, int attribute) implementation pattern: if(attribute<0) set entire vector, else extract current vector, modify only specified axis using value.x, then set modified vector back. Example from PropertiesOfTransform: if attribute==1 then v.y=value.x (uses X channel from curve to set Y axis of transform).",attribute_system,"timeflow, attributes, multi_axis, vector_properties",9,2025-12-13 22:29:29
8,"LineRenderer Position Handler Implementation Complete: Created PropertiesOfLineRenderer.cs in Packages/com.axongenesis.timeflow/Core/Properties/. This custom handler enables animating individual LineRenderer position indices through TimeFlow timeline. KEY FEATURES: Dynamically generates ""Position [0]"", ""Position [1]"", etc. based on positionCount, Uses regex to parse index from property name (Regex.Match pattern @""Position\s*\[(\d+)\]""), Implements GetVector() using lineRenderer.GetPosition(index), Implements SetVector(value, attribute) using lineRenderer.SetPosition(index, value) with full X/Y/Z axis support, Caches positionCount and rebuilds property list when it changes via Refresh() method. ATTRIBUTE HANDLING: attribute<0 = Combined mode (set entire Vector3), attribute 0/1/2 = X/Y/Z individual axes using value.x for single channel consistency. Named PropertiesOfLineRenderer following TimeFlow naming convention, in AxonGenesis namespace for auto-discovery.",linerenderer_handler_complete,"timeflow, linerenderer, implementation_complete, custom_handler",10,2025-12-13 22:35:10
9,"SUCCESS!! PropertiesOfLineRenderer Works Perfectly - First Try! Tim tested the custom LineRenderer handler and IT WORKS!! The TimeFlow property dropdown now shows ""Position [0]"", ""Position [1]"", ""Position [2]"", etc. for LineRenderer components and he can animate individual position indices! HUGE WIN - we successfully extended a professional 1.2 GB Unity Asset Store package on the first attempt! File location: Packages/com.axongenesis.timeflow/Core/Properties/Addons/PropertiesOfLineRenderer.cs. The Addons folder approach keeps our custom code separate from TimeFlow source, making updates safe and organization clean. This proves the reflection-based handler discovery system works regardless of subfolder location - only namespace and inheritance matter. Tim can now animate laser beams, light trails, and complex LineRenderer effects in Amazing Grace timeline!",success_first_test,"SUCCESS, timeflow, linerenderer, tested_working, celebration",10,2025-12-13 22:45:40
10,"TimeFlow AudioSample Baking System - Data Storage: AudioSample baking does NOT create separate files. Baked audio data is stored directly in Unity scene/prefab files via public float[] BakedData field (line 45 in AudioSample.cs). When ""Start Baking"" is clicked and timeline plays, the Amplitude setter (lines 138-153) fills BakedData array with amplitude values at each frame (Timeflow.TotalFrames length). Unity's serialization automatically saves this public array as part of GameObject component data in .unity (scene) or .prefab files. Benefits: Data travels with GameObject, no external file dependencies, automatic version control with scene. During baking: IsBaking=true, plays timeline, captures audio amplitude per frame. BakedDataIndex calculates current frame position (CurrentTime * Timeflow.FPS). When UseBakedData=true and NOT baking, Amplitude getter reads from BakedData[BakedDataIndex] instead of live audio analysis. Setup occurs in SetupBaking() which creates array sized to Timeflow.TotalFrames.",TimeFlow AudioSample component baking workflow and data storage architecture. Located in Packages/com.axongenesis.timeflow/Core/Behaviors/Audio/AudioSample.cs,"TimeFlow, AudioSample, baking, data_storage, serialization, Unity, audio_analysis, workflow",8,2025-12-23 21:21:04
11,"TimeFlow Centralized Addons Folder Structure: ALL custom addons should be placed in Core/Addons/ with subfolders by type. STRUCTURE: Core/Addons/Properties/ (custom property handlers like PropertiesOfLineRenderer.cs), Core/Addons/Behaviors/ (custom behavior components like AudioSampleCSVExporter.cs), Core/Addons/Editor/ (custom editor scripts like AudioSampleCSVExporterEditor.cs). BENEFITS: All custom code in ONE centralized location, organized by type, clearly separated from TimeFlow core files, update-safe (TimeFlow package updates won't overwrite addons), easy to find and manage all customizations. NAMING CONVENTIONS: Property handlers must be named PropertiesOf[Type].cs in AxonGenesis namespace for reflection-based discovery. Behavior addons can use any name. Editor addons should match their target component name + ""Editor"" suffix. DO NOT create Addons folders scattered throughout Core - use ONLY the centralized Core/Addons/ structure!",TimeFlow custom addon organization - centralized folder structure for update-safe customizations,"TimeFlow, folder_structure, addons, organization, best_practices, update_safe",10,2025-12-23 22:44:54
12,"TimeFlow AudioSpectrum Frequency Analysis Algorithm: Core logic in AnalyzeSample() method (AudioSpectrum.cs line 648+) converts FFT spectrum data into amplitude for specific frequency ranges. KEY MATH: freqRate = SampleRate / 2 (Nyquist frequency), start_index = (StartFrequency / freqRate) * SpectrumResolution, end_index = (EndFrequency / freqRate) * SpectrumResolution. Then iterates through spectrum array from start to end, accumulating values: v = spectrum[j] * (j + 1), either averaging (sum/range) or finding maximum. UNITY DEPENDENCIES: AudioListener.GetSpectrumData() or AudioSource.GetSpectrumData() fills float[] spectrum array with FFT data (512, 1024, 2048, etc samples). FOR STANDALONE C#: Use NAudio (Windows audio library) for microphone/audio input, MathNet.Numerics or NAudio's FFT for frequency analysis, then apply TimeFlow's ALGORITHM (not code verbatim) to extract amplitude per frequency band. The MATH is universal and not copyrightable - only specific implementation is. Can rewrite algorithm in own words for standalone Visual Studio program.",TimeFlow AudioSpectrum frequency analysis for potential use in standalone C# program - algorithm extraction,"TimeFlow, AudioSpectrum, FFT, frequency_analysis, algorithm, NAudio, standalone, CSV_export",9,2025-12-23 23:19:46
